ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-02-09	117.494	0.0	60.070833333333326										58.474
2016-02-08	121.45	0.0	61.15416666666666										59.902
2016-02-07	126.101	0.0	63.633333333333326										62.825
2016-02-06	132.81	0.0	67.11874999999999										65.328
2016-02-05	139.593	0.0	72.35625										68.939
2016-02-04	146.448	0.0	76.69583333333334										72.133
2016-02-03	161.068	0.0	84.015625										78.23
2016-02-02	175.981	0.0	97.440625										90.761
2016-02-01	213.33	0.0	124.41875										118.015
2016-01-31	242.891	0.0	165.81354166666668										137.422
2016-01-30	237.525	0.0	167.12187500000002										156.087
2016-01-29	251.375	0.6000000000000001	143.86249999999998										146.565
2016-01-28	272.462	37.2	171.984375										169.692
2016-01-27	237.525	0.2	154.98958333333334										164.163
2016-01-26	256.807	3.0	138.9357894736842										136.609
2016-01-25	333.075	0.0	179.147311827957										168.763
2016-01-24	449.004	0.0	278.1125										264.497
2016-01-23	423.652	0.0	333.15000000000003										304.496
2016-01-22	346.313	18.0	262.278125										282.377
2016-01-21	388.602	7.0	226.5510416666667										310.349
2016-01-20	525.211	18.2	263.2447916666667										301.582
2016-01-19	519.321	17.0	374.978125										376.943
2016-01-18	521.282	13.2	352.38437500000003										364.542
2016-01-17	284.333	79.6	184.665625										207.008
2016-01-16	204.404	28.2	110.86041666666668										140.703
2016-01-15	170.267	7.000000000000001	119.26770833333332										114.357
2016-01-14	156.162	0.2	113.36770833333333										115.811
2016-01-13	115.526	1.2	69.83125										93.921
2016-01-12	81.417	73.6	52.19791666666666										53.87
2016-01-11	83.243	0.0	36.409375										35.671
2016-01-10	83.243	0.0	40.665625										35.328
2016-01-09	94.375	0.0	46.834375										37.422
2016-01-08	133.485	0.0	60.34375										49.081
2016-01-07	161.068	0.0	105.246875										98.461
2016-01-06	133.485	0.0	116.56145833333332										120.994
2016-01-05	188.258	0.0	73.703125										90.761
2016-01-04	104.515	1.6	43.9875										39.964
2016-01-03	81.417	25.8	44.259375										36.017
2016-01-02	74.204	9.0	41.2875										41.086
2016-01-01	73.61	0.0	37.45729166666667										40.336
2015-12-31	74.8	0.2	41.391666666666666										38.861
2015-12-30	73.016	6.8	36.6										35.328
2015-12-29	77.192	3.6	36.1										36.017
2015-12-28	81.417	0.2	35.0125										35.671
2015-12-27	79.601	0.6000000000000001	38.59583333333334										36.017
2015-12-26	85.077	0.0	43.77395833333333										38.861
2015-12-25	109.667	0.0	52.2125										51.658
2015-12-24	98.784	0.0	80.23645833333333										75.42
2015-12-23	97.52	0.0	69.08229166666666										77.098
2015-12-22	95.63	0.0	59.08541666666667										66.861
2015-12-21	92.499	0.0	52.8125										48.659
2015-12-20	90.631	0.0	49.49583333333334										48.659
2015-12-19	90.631	0.0	51.130208333333336										42.613
2015-12-18	101.959	0.0	52.2438202247191										47.409
2015-12-17	104.515	0.0	57.334375										56.604
2015-12-16	124.103	0.0	66.70625										61.352
2015-12-15	154.766	0.0	82.203125										75.42
2015-12-14	186.078	0.0	107.75052631578949										92.017
2015-12-13	211.837	0.0	142.209375										137.422
2015-12-12	226.871	0.0	131.94062499999998										140.703
2015-12-11	248.283	27.2	163.01250000000002										152.58
2015-12-10	336.592	15.6	223.06041666666667										205.282
2015-12-09	352.534	4.4	271.3666666666667										290.971
2015-12-08	291.508	17.400000000000002	221.5736111111111										224.506
2015-12-07	293.908	37.2	196.0666666666667										188.975
2015-12-06	316.509	0.2	235.42916666666667										237.011
